sentence;type;entities
Bản màu vàng còn hàng ở Q9 TPHCM ko shop;hoi_con_hang;COLOR:màu vàng|LOCATION:Q9|LOCATION:TPHCM
Còn đang giảm giá không shop ơi;hoi_giam_gia;IS_SALE_OFF:đang giảm giá
Ipx giá nhiêu nhỉ?;hoi_gia;PHONE_NAME:Ipx
Iphone X bản 64gb vàng đốm giờ giá nhiêu vậy?;hoi_gia;PHONE:Iphone X|ROM:64|COLOR:vàng
Giảm giá 1tr4 là còn 3tr6 phải không bạn;hoi_gia;IS_PRICE_AFTER_SALE_OFF_PRICE:Giảm giá 1tr4 là còn 3tr6
Ở Thái Nguyên giá SS8+ giờ nhiêu;hoi_gia;LOCATION:Thái Nguyên|PHONE:SS8+
Mình muốn mua Iphone X hàng nhập khẩu từ Mỹ giá nhiêu;hoi_gia;PHONE:Iphone X|LOCATION:Mỹ|IS_PHONE_FROM:hàng nhập khẩu
Bản 64gb mắc hơn 32gb nhiêu;hoi_gia;IS_COMPARE:mắc hơn|ROM:64|ROM:32
Giá 22tr2 là tính thuế VAT 10% chưa shop;hoi_gia;MONEY:22tr2|TAX:10%|IS_INCLUDE_TAX:thuế VAT
Tính thuế nữa là giá nhiêu vậy bạn;hoi_gia;IF_INCLUDE_TAX:Tính thuế nữa
Mua SS9+ có được tặng kèm gì ko shop;hoi_khuyen_mai;PHONE:SS9+|SALE_OFF_GIFF:tặng kèm
Iphone 7 có đang khuyến mãi ko?;hoi_khuyen_mai;PHONE:Iphone 7|IS_SALE_OFF_NOW:đang khuyến mãi ko
Ủa giờ còn giảm giá 1tr không;hoi_khuyen_mai;IS_SALE_OFF_NOW:giảm giá 1tr không
Mình mua trả góp vậy có được giảm 2tr không;hoi_khuyen_mai;IS_SALE_OFF_INSTALLMENT:giảm 2tr không
Khi nào hết chương trình giảm giá sốc với đồ tặng kèm cho con này vậy bạn;hoi_khuyen_mai;WHEN_END_SALE_OFF:Khi nào hết chương trình
Máy này sử dụng cục sạc mấy chấu thế;hoi_phan_cung;WHAT_CHARGER:sạc mấy chấu
Sạc thường mấy tiếng mới đầy pin vậy;hoi_phan_cung;HOW_LONG_CHARGER:Sạc thường mấy tiếng
Pin xài bao lâu tiếng vậy;hoi_phan_cung;HOW_LONG_PIN:Pin xài bao lâu
IphoneX pin xài bao lâu?;hoi_phan_cung;PHONE:IphoneX|HOW_LONG_PIN:pin xài bao lâu
Pin IphoneX xài bao lâu?;hoi_phan_cung;HOW_LONG_PIN:Pin IphoneX xài bao lâu
Xài chip gì vậy shop;hoi_phan_cung;WHAT_CHIP:chip gì
Camera trước nhiêu chấm vậy;hoi_phan_cung;WHAT_FRONT_CAMERA:Camera trước
Xiaomi này là vỏ nhôm hay nhựa vậy;hoi_phan_cung;MANUFACTURER:Xiaomi|WHAT_PHONE_CASE:vỏ nhôm hay nhựa
Máy này ram nhiêu?;hoi_phan_cung;WHAT_RAM:ram nhiêu
Máy này dung lượng rom là 32 hay 64?;hoi_phan_cung;WHAT_ROM:dung lượng rom là|ROM:32|ROM:64
Màn hình con SS9+ nhiêu inch nhỉ;hoi_phan_cung;PHONE:SS9+|WHAT_INCH:nhiêu inch nhỉ
Có tai thỏ ko shop?;hoi_phan_cung;IS_EAR_RABBIT:tai thỏ
Có tràn màn hình không?;hoi_phan_cung;IS_OVER_FLOW_SCREEN:tràn màn hình
SS7+ có màn hình tràn không?;hoi_phan_cung;PHONE:SS7+|IS_OVER_FLOW_SCREEN:màn hình tràn
Con này có hỗ trợ 4g được không nhỉ?;hoi_phan_cung;IS_4G:hỗ trợ 4g
SS7+ có hỗ trợ 4g được không nhỉ?;hoi_phan_cung;PHONE:SS7+|IS_4G:hỗ trợ 4g
Này dùng 1 sim hay 2 sim;hoi_phan_cung;HOW_NUMBER_SIM:1 sim hay 2 sim
Dùng sim ghép hay thường vậy bạn;hoi_phan_cung;WHAT_SIM:sim ghép hay thường
Có chống nước không;hoi_phan_cung;IS_WATER_PROTECTED:chống nước
Iphone 7 chống nước không?;hoi_phan_cung;PHONE:Iphone 7|IS_WATER_PROTECTED:chống nước
Ủa máy cài android 6 hay 7;hoi_phan_mem;WHAT_OS:android 6 hay 7
Mua về có update lên 8 được không;hoi_phan_mem;CAN_UPDATE:có update lên|VERSION_TO_UPDATE:8
Xiaomi này có cài sẵn tiếng Việt không, shop có hỗ trợ cài miễn phí hay phải tự cài;hoi_phan_mem;IS_VIETNAMESE_INSTALLED:cài sẵn tiếng Việt|MANUFACTURER:Xiaomi
Iphone XS Max có hỗ trợ tiếng Việt không?;hoi_phan_mem;PHONE:Iphone XS Max|IS_SUPPORT_INSTALLED:hỗ trợ tiếng Việt
Ủa này hàng từ Mỹ hay Đài Loan bạn;hoi_nguon_hang;LOCATION:Mỹ|LOCATION:Đài Loan
Bản Iphone XS này là quốc tế hả;hoi_nguon_hang;PHONE:Iphone XS|IS_GLOBAL:là quốc tế
Phải mã hàng LL/A không;hoi_nguon_hang;WHAT_CODE:Phải mã hàng LL/A
Ủa này là hàng nhập khẩu xách tay hay chính hãng vậy shop;hoi_nguon_hang;WHAT_FROM_TYPE:xách tay hay chính hãng
Này là mới đập hộp hay like new;hoi_nguon_hang;IS_BRAND_NEW_OR_LIKE_NEW:đập hộp hay like new
Chơi liên quân max setting được không;hoi_nhu_cau;GAME:liên quân
Chơi game liên tục 3h được không;hoi_nhu_cau;HOW_LONG_PIN_PLAYING_GAME:Chơi game liên tục 3h
Không biết con này chơi alpha 8 có lag không ae nhỉ;hoi_nhu_cau;GAME:alpha 8|IS_FINE_WHILE_PLAYING:có lag không
Ủa SS9 note còn ko vậy;hoi_con_hang;PHONE:SS9 note
Iphone XS xám bạc còn không;hoi_con_hang;PHONE:Iphone XS|COLOR:xám bạc
Còn màu nào khác không;hoi_con_hang;WHAT_ELSE_COLOR:màu nào khác
Ở Thái Nguyên còn Xiaomi red mi 4 không vậy;hoi_con_hang;LOCATION:Thái Nguyên|PHONE:Xiaomi red mi 4
Còn mã LL/A không shop;hoi_con_hang;CODE:LL/A
Còn bản ram 3gb không;hoi_con_hang;RAM:3
Còn bản 32gb không;hoi_con_hang;ROM:32
Cho xin địa chỉ ở Tiền Giang bạn ơi;hoi_dia_chi;LOCATION:Tiền Giang
Ở Cần Thơ chỗ nào còn Iphone 8 plus đỏ vậy bạn;hoi_dia_chi;LOCATION:Cần Thơ|PHONE:Iphone 8 plus|COLOR:đỏ
Tư vấn e trả góp ạ;hoi_tra_gop;IS_NEEDED:Tư vấn e trả góp
Em năm nay 18t, có bằng lái xe trả góp được không;hoi_tra_gop;YEAR_OLD:18|GIAY_TO:bằng lái xe
Trả trước 30% là nhiêu tiền, rồi trả còn lại hết nhiều;hoi_tra_gop;HOW_MUCH_FIRST_PAY:30%|HOW_MUCH_LEFT:trả còn lại
Có hỗ trợ thanh toán qua thẻ tín dụng không;hoi_tra_gop;IS_SUPPORTED_BUYING_THROUGH_CREDIT:thanh toán qua thẻ tín
Có thanh toán qua thẻ tín dụng không;hoi_tra_gop;IS_SUPPORTED_BUYING_THROUGH_CREDIT:thanh toán qua thẻ tín dụng
